transaction_id,time_seconds,amount_inr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,merchant_category,card_type,entry_mode,city_tier,is_foreign,customer_age_group,account_age_months,hour_of_day,Class,notes,reviewed_by
TXN0008777,57630,,2.807697,0.276265,1.062996,-0.221626,-0.577703,-0.210361,-1.309458,-1.796181,-1.871003,0.042803,-0.575306,1.493115,-1.289717,-1.209309,-2.049364,1.806542,0.512559,1.733358,-0.88057,0.221045,0.204518,-1.617689,-0.060891,0.621794,-1.103013,1.306326,-0.566217,-0.919444,ATM Withdrawal,Visa,Swipe,Tier1,0,26-35,68.0,16,0,,
TXN0002200,38274,754.26,-1.975716,-0.490516,-0.795651,-0.987246,-1.141452,-0.781381,0.709717,-1.854928,1.878469,-0.362569,0.107285,-1.503292,-1.715892,-2.138779,0.778379,1.615549,-1.739117,-0.230248,-1.056278,0.24836,-1.046288,-0.240856,1.066544,-1.418342,-0.675539,0.732695,-1.341421,0.839465,Food & Dining,Visa,Swipe,Tier2,0,60+,80.0,10,0,,
TXN0009597,41803,50.0,-0.429719,1.043077,0.757801,-0.214829,-0.737345,0.491581,-1.222717,0.959125,0.465407,-0.288813,0.411556,-0.682325,-1.161229,-0.568203,0.007171,-1.022909,0.657422,-0.647991,-0.579786,1.287312,-0.139936,-0.020851,0.627088,0.108569,-0.106951,0.786725,-0.349734,0.200888,,Visa,Online,Tier2,0,18-25,7.0,11,0,,
TXN0008491,58315,50.0,0.005155,-1.062797,0.572637,-0.993741,-0.778116,0.013816,1.951724,-2.041885,-2.238503,0.327047,-0.367058,0.8822,-0.281153,,-0.290459,1.13385,-0.52493,0.976588,0.082417,0.723831,0.341173,-0.615568,-0.127292,0.639108,-0.855971,-0.307994,1.408648,1.074161,Utilities,Visa,Chip,Tier1,0,18-25,232.0,16,0,,
TXN0003315,59128,3472.24,-0.328406,1.56859,1.523985,1.196267,-0.721814,-1.233053,0.612499,-0.083757,0.84422,0.506453,-0.25885,0.033006,-0.147013,-0.7184,-1.164251,0.001328,0.338074,0.612649,0.023005,-1.698828,-0.045809,-0.759466,0.566632,-0.210316,-0.639426,1.315331,-0.469897,0.968516,Healthcare,Mastercard,Contactless,Tier1,0,46-60,33.0,16,0,,
TXN0003890,78926,7346.91,0.276977,0.261762,1.049002,-0.094029,0.135871,-0.780761,-0.404526,0.318665,-0.194504,-0.121882,0.627656,-1.25997,-0.039418,0.705146,-1.522513,-1.015432,1.081704,-1.259656,1.057505,-0.507921,-0.181776,1.750883,1.088542,1.946001,0.810721,0.346146,1.136733,1.213167,Online Shopping,Visa,Contactless,,0,60+,149.0,21,0,,
TXN0003750,72281,2260.07,1.124548,1.455819,0.489892,-0.582956,-0.002611,0.06236,-0.726758,-0.383238,-0.393928,0.604528,-1.296426,-0.64706,0.270062,0.194216,1.104577,-0.222867,-1.333546,-0.79554,1.368397,-2.995105,-0.430723,-0.616156,-0.119876,-0.357741,-0.239669,0.028851,-0.71259,0.675805,ATM Withdrawal,Visa,Swipe,Tier1,0,60+,168.0,20,0,,
TXN0000705,32071,1031.14,-0.032955,-1.083067,-1.877181,-0.282322,0.649361,-0.120544,0.941735,-0.429101,-0.288239,0.538347,-1.338011,0.201442,0.153347,-0.232029,1.338689,0.689025,-1.583659,-0.381467,-0.696908,-0.117136,-0.987903,-1.056189,-0.167751,0.080531,-0.822655,-0.938063,-1.583588,0.318575,Utilities,Mastercard,Online,Tier1,1,46-60,177.0,8,0,,
TXN0002255,43410,395.96,0.782701,-0.096825,0.090029,,-0.689299,1.788776,-1.356639,0.238292,0.650251,-0.845386,0.657529,1.25567,1.304176,-0.976787,1.897164,0.16945,-0.042731,-1.499983,-0.014592,0.101823,-1.339422,-1.925771,-0.536089,-0.575653,-1.39699,0.494114,1.849589,0.762013,ATM Withdrawal,Visa,Contactless,Tier3,0,46-60,16.0,12,0,,
TXN0009604,42287,3148.63,1.500653,0.868314,-1.251762,-0.022337,0.087512,0.132513,-1.899108,0.658823,-1.057646,1.116512,-0.779851,-0.356727,-0.142462,2.122598,0.635258,-0.681181,0.371488,-0.467351,-1.286285,0.656798,0.826785,0.670216,-2.657948,-1.913455,-1.210491,2.571063,-0.912711,-0.068878,Travel,Mastercard,Online,Tier2,0,60+,3.0,11,0,,
TXN0007830,82220,1221.05,0.080162,-1.877941,0.625134,-0.729632,-0.65262,-1.007493,0.761948,-0.392983,-1.026569,0.791069,0.936489,-0.277376,1.695166,0.078043,0.163531,-0.591852,0.11791,0.458663,0.370907,-1.068494,0.068774,-0.717501,0.876566,0.227277,-0.921254,-0.766136,1.055512,0.797023,Food & Dining,RuPay,Online,Tier2,0,46-60,117.0,22,0,,
TXN0006831,14338,22.85,-0.950763,1.344792,1.599648,3.459693,-1.673929,-1.371473,-4.180519,0.185752,-0.3293,-5.381189,7.268414,-8.540157,-0.562977,-9.290351,-1.034979,0.562995,-2.206093,0.003896,-0.353768,-0.538151,-2.355798,-0.777472,0.239675,0.335347,2.3544,0.890684,-0.690276,-0.678109,Electronics,Visa,Swipe,Tier1,1,46-60,93.0,3,1,,
TXN0009481,56056,1907.75,-0.216624,1.802527,-0.755221,0.159718,0.102513,-0.856315,-0.73991,0.523918,-0.910983,1.142192,-0.786759,2.872468,0.488128,0.983635,0.192029,-2.143465,-0.105583,1.268272,-0.241557,0.572812,1.360603,0.527626,0.910344,0.311843,1.264604,0.973336,0.921174,-1.482574,Retail,Visa,Chip,Tier2,0,36-45,49.0,15,0,,
TXN0006905,57440,1835.46,-0.388292,1.387938,-2.160332,0.635677,-0.110557,0.261041,-0.183522,0.532947,1.34039,-0.300322,-2.535276,-0.323784,1.147043,-0.897358,-0.393795,0.115224,-0.264101,-1.153786,1.458025,-2.116429,1.198903,-0.986058,1.683566,0.334234,1.379708,1.934583,-0.464717,-1.845689,Food & Dining,Mastercard,Online,Tier2,0,26-35,159.0,15,0,,
TXN0005823,44475,895.82,1.470588,0.309652,-0.709229,-1.115177,-1.21774,-0.419708,0.674852,-0.277498,-0.231658,-1.120692,1.650209,2.452824,-1.846077,-0.412154,-1.585098,-0.337846,-0.376592,-0.32639,0.566182,1.851402,0.878615,-0.222387,0.026611,0.150978,1.667918,-1.004347,0.029955,-0.031178,Grocery,Visa,Swipe,Tier1,0,36-45,100.0,12,0,,
TXN0006349,81556,1365.77,0.440021,-0.204471,-0.837578,-1.050823,0.379684,-0.292079,0.530329,-0.508425,0.091366,0.15429,0.555972,-0.791581,-2.08578,2.047923,0.409947,-0.252035,-0.823499,0.678133,-2.536621,-0.07649,-1.260547,0.15115,-1.557199,-0.817763,0.482537,-0.354167,0.447059,-1.412724,Grocery,Visa,Chip,Tier2,0,36-45,200.0,22,0,,
TXN0003024,65449,854.79,1.173387,0.332495,0.096444,0.999671,-0.517615,3.055658,0.210164,-0.897316,1.16568,1.400953,-1.657751,-1.225592,-1.456439,1.321327,0.800853,0.187773,1.484682,0.805685,-1.167658,1.874952,1.579131,-0.368643,-0.719187,1.805705,-1.749664,1.653206,-0.152859,-1.142685,Fuel,RuPay,Chip,Tier1,0,46-60,218.0,18,0,,
TXN0000081,29232,4318.38,0.725447,-0.762102,-1.865293,0.246052,0.856606,-0.058258,-0.306035,1.58659,-2.011888,0.72364,0.783356,-0.771643,-2.31308,0.757888,0.321765,1.421293,-0.564776,0.174542,-1.678046,0.723122,-1.531528,-0.036944,-1.040751,0.337958,-0.188503,-0.228134,-0.062013,0.032102,Grocery,Visa,Swipe,Tier1,0,46-60,156.0,8,0,,
TXN0007906,50672,1693.19,1.208911,1.459947,1.382933,-0.80428,1.836026,1.428543,-1.959813,-1.908234,0.412938,-0.29062,1.199583,2.375836,1.861181,-0.321572,-1.929339,0.667507,-0.557896,-0.491608,0.796388,-0.343218,-1.044115,0.602703,-0.053705,-0.482551,0.303124,0.202313,0.810084,2.102122,Online Shopping,Mastercard,,Tier1,0,60+,225.0,14,0,,
TXN0004848,55251,277.94,-0.889477,0.687643,1.48508,1.065512,0.707613,-0.746084,-0.785651,1.273565,-0.740088,0.10399,1.467637,-1.604413,0.329544,-0.049858,0.372644,-0.909558,-1.329278,0.095661,0.558345,-1.404871,0.72209,-1.10285,-0.403931,2.027337,0.452866,1.05137,0.704353,-0.166516,Online Shopping,Mastercard,Chip,Tier1,0,46-60,136.0,15,0,,
